GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SmartMove Core Engine,com.smartmove.zones,JsonZoneRepository.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
SmartMove Core Engine,com.smartmove.zones,ZoneService,0,54,2,12,0,9,2,7,0,2
SmartMove Core Engine,com.smartmove.zones,JsonZoneRepository,73,0,2,0,16,0,4,0,3,0
SmartMove Core Engine,com.smartmove.zones,RestrictedZone,0,3,0,0,0,1,0,1,0,1
SmartMove Core Engine,com.smartmove.telemetry,TelemetryData,90,43,0,0,27,16,11,9,11,9
SmartMove Core Engine,com.smartmove,SmartMoveServer,71,0,0,0,13,0,2,0,2,0
SmartMove Core Engine,com.smartmove.audit,AuditLogEntry,24,0,0,0,9,0,2,0,2,0
SmartMove Core Engine,com.smartmove.audit,AuditLogService,262,0,16,0,61,0,13,0,5,0
SmartMove Core Engine,com.smartmove.storage,UserStorage,3,0,0,0,1,0,1,0,1,0
SmartMove Core Engine,com.smartmove.storage,JsonVehicleStorage.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
SmartMove Core Engine,com.smartmove.storage,JsonVehicleStorage,45,258,5,13,8,54,5,12,0,8
SmartMove Core Engine,com.smartmove.storage,JsonPaymentStorage.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
SmartMove Core Engine,com.smartmove.storage,JsonPaymentStorage,166,0,8,0,32,0,9,0,5,0
SmartMove Core Engine,com.smartmove.domain,User,47,0,0,0,20,0,10,0,10,0
SmartMove Core Engine,com.smartmove.domain,Payment,18,34,0,0,6,11,6,3,6,3
SmartMove Core Engine,com.smartmove.domain,VehicleState,0,39,0,0,0,7,0,1,0,1
SmartMove Core Engine,com.smartmove.domain,VehicleType,0,21,0,0,0,4,0,1,0,1
SmartMove Core Engine,com.smartmove.domain,City,0,21,0,0,0,4,0,1,0,1
SmartMove Core Engine,com.smartmove.domain,Vehicle,47,111,5,1,6,41,6,16,3,16
SmartMove Core Engine,com.smartmove.controller,SmartMoveCentralController,264,491,53,34,46,129,43,24,4,17
